Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2000","2000","index","1.33","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.19","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.88","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.94","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2005","2005","index","0.89","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2006","2006","index","0.94","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2007","2007","index","0.93","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.96","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2009","2009","index","0.86","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2010","2010","index","0.89","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2011","2011","index","0.94","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2012","2012","index","1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2013","2013","index","1.03","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2014","2014","index","1.03","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2015","2015","index","0.88","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2016","2016","index","1.05","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2017","2017","index","0.89","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2019","2019","index","1.09","X","International reliable sources",""
